lab_profile,organization,number,series,created,last_modified,status,platform
Introduction to Data Science,AI Nexus,2J,Advanced Developer Series,"December 17, 2011","May 5, 2012",Awaiting Verification,ESX
Agile Project Management,CyberCore,OOW2B,Cloud Mastery Series,"August 14, 2020","October 9, 2022",Complete,ESX
Cybersecurity Essentials,CyberCore,F,Cybersecurity Pathway,"December 10, 2021","February 11, 2024",In Development,ESX
Introduction to Data Science,DevForge,UE,Web Development Journey,"July 13, 2012","June 12, 2014",Awaiting Verification,ESX
Data Visualization with Python,NextGen Labs,MK9WR,Foundations of Technology,"March 6, 2024","March 20, 2024",Awaiting Verification,ESX
Big Data Analytics,InnoSoft,XP,Foundations of Technology,"January 24, 2023","September 5, 2024",Awaiting Verification,None | Azure
Web Development with JavaScript,CodeCrafters,GS2X,Cloud Mastery Series,"June 6, 2010","March 28, 2022",Complete,Hyper-V
Networking Concepts,SecureNet,E4WD,AI and Machine Learning Track,"June 10, 2014","February 28, 2021",Awaiting Verification,Hyper-V
Building Secure Web Applications,CloudSphere,W,DevOps Essentials,"October 8, 2018","October 11, 2020",Awaiting Verification,Hyper-V
AI for Beginners,DataMinds,7H,Data Science Bootcamp,"November 21, 2010","June 20, 2024",In Development,Hyper-V
Database Design and Management,CyberCore,ZF,Data Science Bootcamp,"November 27, 2016","November 25, 2023",Complete,Hyper-V
Data Visualization with Python,CodeCrafters,A,Data Science Bootcamp,"September 24, 2015","June 17, 2024",Awaiting Verification,Hyper-V
Linux Command Line Basics,CodeCrafters,ND8,Mobile Development Series,"September 28, 2014","November 12, 2020",Awaiting Verification,ESX
Cloud Computing Basics,AI Nexus,VT,Advanced Developer Series,"April 29, 2013","March 13, 2025",Awaiting Verification,ESX
Linux Command Line Basics,AI Nexus,1,DevOps Essentials,"March 2, 2018","September 13, 2022",In Development,ESX
Natural Language Processing,NextGen Labs,9C6I,Cybersecurity Pathway,"February 11, 2014","June 5, 2019",In Development,ESX
Web Development with JavaScript,CyberCore,ZGU,Mobile Development Series,"February 20, 2025","May 31, 2025",In Development,None
Web Development with JavaScript,CloudSphere,8TTB,Cybersecurity Pathway,"November 12, 2017","December 21, 2023",Complete,None
